site,x,y,date,year,month,rainfall,tasmin,tasmax
Raindrop_Wytham,446500,208500,01/01/2024,2024,1,12.546875,5.73046875,11.35351563
Raindrop_Wytham,446500,208500,02/01/2024,2024,1,9.185546875,5.921875,12.75195313
Raindrop_Wytham,446500,208500,03/01/2024,2024,1,2.33203125,8.022460938,10.14746094
Raindrop_Wytham,446500,208500,04/01/2024,2024,1,27.98828125,4.231445313,6.612304688
Raindrop_Wytham,446500,208500,05/01/2024,2024,1,0.048828125,3.977539063,7.077148438
Raindrop_Wytham,446500,208500,06/01/2024,2024,1,0.009765625,3.850585938,6.442382813
Raindrop_Wytham,446500,208500,07/01/2024,2024,1,9.77E-04,2.022460938,3.790039063
Raindrop_Wytham,446500,208500,08/01/2024,2024,1,0.056640625,0.7265625,2.71875
Raindrop_Wytham,446500,208500,09/01/2024,2024,1,0,0.381835938,2.8046875
Raindrop_Wytham,446500,208500,10/01/2024,2024,1,9.77E-04,-0.3046875,4.173828125
Raindrop_Wytham,446500,208500,11/01/2024,2024,1,0.00390625,-0.274414063,4.8515625
Raindrop_Wytham,446500,208500,12/01/2024,2024,1,0,1.395507813,5.143554688
Raindrop_Wytham,446500,208500,13/01/2024,2024,1,0,0.200195313,4.116210938
Raindrop_Wytham,446500,208500,14/01/2024,2024,1,0.118164063,0.845703125,6.213867188
Raindrop_Wytham,446500,208500,15/01/2024,2024,1,0,-1.772460938,2.408203125
Raindrop_Wytham,446500,208500,16/01/2024,2024,1,0,-3.907226563,4.637695313
Raindrop_Wytham,446500,208500,17/01/2024,2024,1,0,-2.650390625,1.112304688
Raindrop_Wytham,446500,208500,18/01/2024,2024,1,0.004882813,-6.006835938,2.45703125
Raindrop_Wytham,446500,208500,19/01/2024,2024,1,9.77E-04,-4.64453125,5.157226563
Raindrop_Wytham,446500,208500,20/01/2024,2024,1,5.366210938,-2.486328125,8.86328125
Raindrop_Wytham,446500,208500,21/01/2024,2024,1,14.18652344,3.05078125,12.15039063
Raindrop_Wytham,446500,208500,22/01/2024,2024,1,0.341796875,7.235351563,9.666992188
Raindrop_Wytham,446500,208500,23/01/2024,2024,1,2.30078125,3.880859375,12.89550781
Raindrop_Wytham,446500,208500,24/01/2024,2024,1,0.24609375,7.411132813,10.91601563
Raindrop_Wytham,446500,208500,25/01/2024,2024,1,3.259765625,4.7109375,12.45214844
Raindrop_Wytham,446500,208500,26/01/2024,2024,1,0.053710938,5.44140625,9
Raindrop_Wytham,446500,208500,27/01/2024,2024,1,0.004882813,1.04296875,8.1015625
Raindrop_Wytham,446500,208500,28/01/2024,2024,1,9.77E-04,2.05859375,11.7109375
Raindrop_Wytham,446500,208500,29/01/2024,2024,1,0.01171875,4.768554688,11.94238281
Raindrop_Wytham,446500,208500,30/01/2024,2024,1,9.77E-04,6.865234375,7.543945313
Raindrop_Wytham,446500,208500,31/01/2024,2024,1,0.74609375,4,10.86621094
Raindrop_Wytham,446500,208500,01/02/2024,2024,2,0.00390625,1.427734375,10.66601563
Raindrop_Wytham,446500,208500,02/02/2024,2024,2,0,2.522460938,11.32226563
Raindrop_Wytham,446500,208500,03/02/2024,2024,2,0.005859375,9.359375,12.46386719
Raindrop_Wytham,446500,208500,04/02/2024,2024,2,0,9.640625,12.01367188
Raindrop_Wytham,446500,208500,05/02/2024,2024,2,0.11328125,8.6875,11.21289063
Raindrop_Wytham,446500,208500,06/02/2024,2024,2,21.59082031,9.139648438,12.47753906
Raindrop_Wytham,446500,208500,07/02/2024,2024,2,12.09179688,3.548828125,5.578125
Raindrop_Wytham,446500,208500,08/02/2024,2024,2,29.73535156,3.887695313,10.95117188
Raindrop_Wytham,446500,208500,09/02/2024,2024,2,1.637695313,4.721679688,12.23730469
Raindrop_Wytham,446500,208500,10/02/2024,2024,2,0.342773438,4.59375,10.58691406
Raindrop_Wytham,446500,208500,11/02/2024,2024,2,0.068359375,5.948242188,10.48535156
Raindrop_Wytham,446500,208500,12/02/2024,2024,2,0.061523438,2.69140625,8.90234375
Raindrop_Wytham,446500,208500,13/02/2024,2024,2,4.9375,3.54296875,11.70703125
Raindrop_Wytham,446500,208500,14/02/2024,2024,2,0.46875,5.88671875,14.08984375
Raindrop_Wytham,446500,208500,15/02/2024,2024,2,7.836914063,11.57226563,16.29394531
Raindrop_Wytham,446500,208500,16/02/2024,2024,2,0.005859375,7.9296875,12.74609375
Raindrop_Wytham,446500,208500,17/02/2024,2024,2,29.85839844,8.331054688,13.14160156
Raindrop_Wytham,446500,208500,18/02/2024,2024,2,0.29296875,8.568359375,14.10253906
Raindrop_Wytham,446500,208500,19/02/2024,2024,2,0.002929688,6.561523438,12.15136719
Raindrop_Wytham,446500,208500,20/02/2024,2024,2,5.31640625,5.841796875,12.73925781
Raindrop_Wytham,446500,208500,21/02/2024,2024,2,3.4609375,8.083984375,11.59082031
Raindrop_Wytham,446500,208500,22/02/2024,2024,2,15.70117188,7.012695313,7.989257813
Raindrop_Wytham,446500,208500,23/02/2024,2024,2,0.618164063,2.40625,7.970703125
Raindrop_Wytham,446500,208500,24/02/2024,2024,2,0.147460938,-1.59765625,7.759765625
Raindrop_Wytham,446500,208500,25/02/2024,2024,2,0.052734375,-1.512695313,7.518554688
Raindrop_Wytham,446500,208500,26/02/2024,2024,2,0.2734375,1.822265625,8.288085938
Raindrop_Wytham,446500,208500,27/02/2024,2024,2,0.012695313,0.041992188,8.141601563
Raindrop_Wytham,446500,208500,28/02/2024,2024,2,4.723632813,1.743164063,10.63085938
Raindrop_Wytham,446500,208500,29/02/2024,2024,2,8.05078125,7.1875,8.977539063
Raindrop_Wytham,446500,208500,01/03/2024,2024,3,7.20703125,2.069335938,7.477539063
Raindrop_Wytham,446500,208500,02/03/2024,2024,3,0.178710938,2.376953125,6.2578125
Raindrop_Wytham,446500,208500,03/03/2024,2024,3,0.11328125,-1.87109375,8.763671875
Raindrop_Wytham,446500,208500,04/03/2024,2024,3,0.19140625,-3.581054688,10.265625
Raindrop_Wytham,446500,208500,05/03/2024,2024,3,0.009765625,3.938476563,10.92480469
Raindrop_Wytham,446500,208500,06/03/2024,2024,3,0.051757813,1.249023438,10.98730469
Raindrop_Wytham,446500,208500,07/03/2024,2024,3,0,2.54296875,9.302734375
Raindrop_Wytham,446500,208500,08/03/2024,2024,3,0.006835938,3.526367188,9.962890625
Raindrop_Wytham,446500,208500,09/03/2024,2024,3,4.328125,5.099609375,12.74902344
Raindrop_Wytham,446500,208500,10/03/2024,2024,3,8.255859375,7.28125,9.48046875
Raindrop_Wytham,446500,208500,11/03/2024,2024,3,8.079101563,6.525390625,9.151367188
Raindrop_Wytham,446500,208500,12/03/2024,2024,3,5.465820313,5.869140625,13.27832031
Raindrop_Wytham,446500,208500,13/03/2024,2024,3,0,9.319335938,12.92773438
Raindrop_Wytham,446500,208500,14/03/2024,2024,3,2.012695313,9.587890625,14.75
Raindrop_Wytham,446500,208500,15/03/2024,2024,3,0.5078125,10.11230469,14.78027344
Raindrop_Wytham,446500,208500,16/03/2024,2024,3,10.5078125,3.275390625,10.99023438
Raindrop_Wytham,446500,208500,17/03/2024,2024,3,1.09765625,8.2109375,15.70507813
Raindrop_Wytham,446500,208500,18/03/2024,2024,3,0.01171875,5.28515625,14.92480469
Raindrop_Wytham,446500,208500,19/03/2024,2024,3,1.864257813,9.538085938,14.52539063
Raindrop_Wytham,446500,208500,20/03/2024,2024,3,0.055664063,10.3203125,15.39746094
Raindrop_Wytham,446500,208500,21/03/2024,2024,3,0.182617188,7.915039063,15.62988281
Raindrop_Wytham,446500,208500,22/03/2024,2024,3,9.77E-04,8.478515625,12.04882813
Raindrop_Wytham,446500,208500,23/03/2024,2024,3,0.137695313,2.904296875,9.366210938
Raindrop_Wytham,446500,208500,24/03/2024,2024,3,1.575195313,4.869140625,12.43164063
Raindrop_Wytham,446500,208500,25/03/2024,2024,3,5.208007813,4.135742188,10.9609375
Raindrop_Wytham,446500,208500,26/03/2024,2024,3,11.55566406,6.387695313,14.33789063
Raindrop_Wytham,446500,208500,27/03/2024,2024,3,12.94433594,4.204101563,9.379882813
Raindrop_Wytham,446500,208500,28/03/2024,2024,3,12.78027344,2.267578125,9.87109375
Raindrop_Wytham,446500,208500,29/03/2024,2024,3,1.353515625,4.97265625,12.97558594
Raindrop_Wytham,446500,208500,30/03/2024,2024,3,0.049804688,2.788085938,14.14453125
Raindrop_Wytham,446500,208500,31/03/2024,2024,3,4.5546875,3.748046875,10.92382813
Raindrop_Wytham,446500,208500,01/04/2024,2024,4,1.318359375,6.2109375,14.15625
Raindrop_Wytham,446500,208500,02/04/2024,2024,4,5.506835938,6.454101563,13.62988281
Raindrop_Wytham,446500,208500,03/04/2024,2024,4,5.9921875,8.491210938,12.52539063
Raindrop_Wytham,446500,208500,04/04/2024,2024,4,4.657226563,8.08203125,14.92382813
Raindrop_Wytham,446500,208500,05/04/2024,2024,4,0.061523438,10.03515625,16.87988281
Raindrop_Wytham,446500,208500,06/04/2024,2024,4,2.877929688,12,17.04492188
Raindrop_Wytham,446500,208500,07/04/2024,2024,4,0.001953125,8.75,14.89941406
Raindrop_Wytham,446500,208500,08/04/2024,2024,4,2.44140625,9.365234375,15.75292969
Raindrop_Wytham,446500,208500,09/04/2024,2024,4,0.471679688,6.413085938,11.71191406
Raindrop_Wytham,446500,208500,10/04/2024,2024,4,2.274414063,4.517578125,13.65136719
Raindrop_Wytham,446500,208500,11/04/2024,2024,4,0,9.87109375,18.25585938
Raindrop_Wytham,446500,208500,12/04/2024,2024,4,0,8.178710938,19.25
Raindrop_Wytham,446500,208500,13/04/2024,2024,4,0,9.623046875,17.72851563
Raindrop_Wytham,446500,208500,14/04/2024,2024,4,4.01171875,6.866210938,12.97167969
Raindrop_Wytham,446500,208500,15/04/2024,2024,4,0.984375,5.94140625,11.296875
Raindrop_Wytham,446500,208500,16/04/2024,2024,4,3.315429688,5.786132813,13.25683594
Raindrop_Wytham,446500,208500,17/04/2024,2024,4,0.022460938,3.14453125,11.85644531
Raindrop_Wytham,446500,208500,18/04/2024,2024,4,0.080078125,1.903320313,12.43457031
Raindrop_Wytham,446500,208500,19/04/2024,2024,4,0.202148438,7.561523438,15.11230469
Raindrop_Wytham,446500,208500,20/04/2024,2024,4,0.010742188,0.646484375,11.6875
Raindrop_Wytham,446500,208500,21/04/2024,2024,4,0.52734375,2.984375,10.984375
Raindrop_Wytham,446500,208500,22/04/2024,2024,4,3.607421875,2.53515625,8.278320313
Raindrop_Wytham,446500,208500,23/04/2024,2024,4,0.081054688,5.107421875,10.98925781
Raindrop_Wytham,446500,208500,24/04/2024,2024,4,0.008789063,3.895507813,8.935546875
Raindrop_Wytham,446500,208500,25/04/2024,2024,4,0.088867188,2.20703125,11.046875
Raindrop_Wytham,446500,208500,26/04/2024,2024,4,2.927734375,2.41796875,11.77636719
Raindrop_Wytham,446500,208500,27/04/2024,2024,4,25.6875,4.47265625,8.74609375
Raindrop_Wytham,446500,208500,28/04/2024,2024,4,1.043945313,4.244140625,11.45996094
Raindrop_Wytham,446500,208500,29/04/2024,2024,4,0.0078125,3.71875,14.375
Raindrop_Wytham,446500,208500,30/04/2024,2024,4,0.033203125,7.448242188,17.61425781
Raindrop_Wytham,446500,208500,01/05/2024,2024,5,4.870117188,8.391601563,17.07617188
Raindrop_Wytham,446500,208500,02/05/2024,2024,5,3.604492188,9.678710938,14.24804688
Raindrop_Wytham,446500,208500,03/05/2024,2024,5,5.586914063,8.576171875,11.64746094
Raindrop_Wytham,446500,208500,04/05/2024,2024,5,0.0234375,5.357421875,17.35253906
Raindrop_Wytham,446500,208500,05/05/2024,2024,5,2.560546875,5.451171875,16.64648438
Raindrop_Wytham,446500,208500,06/05/2024,2024,5,3.228515625,8.076171875,16.20214844
Raindrop_Wytham,446500,208500,07/05/2024,2024,5,0.0234375,8.178710938,18.90234375
Raindrop_Wytham,446500,208500,08/05/2024,2024,5,0.010742188,8,18.61425781
Raindrop_Wytham,446500,208500,09/05/2024,2024,5,0.001953125,9.31640625,22.62695313
Raindrop_Wytham,446500,208500,10/05/2024,2024,5,0.00390625,9.647460938,23.05566406
Raindrop_Wytham,446500,208500,11/05/2024,2024,5,0,9.708007813,22.48144531
Raindrop_Wytham,446500,208500,12/05/2024,2024,5,0.001953125,10.80664063,25.33105469
Raindrop_Wytham,446500,208500,13/05/2024,2024,5,7.091796875,10.4453125,17.44238281
Raindrop_Wytham,446500,208500,14/05/2024,2024,5,0.025390625,11.53125,17.14648438
Raindrop_Wytham,446500,208500,15/05/2024,2024,5,0.009765625,12.640625,19.57226563
Raindrop_Wytham,446500,208500,16/05/2024,2024,5,0.184570313,7.760742188,17.82714844
Raindrop_Wytham,446500,208500,17/05/2024,2024,5,0.005859375,9.637695313,21.07421875
Raindrop_Wytham,446500,208500,18/05/2024,2024,5,0.002929688,10.65722656,20.0703125
Raindrop_Wytham,446500,208500,19/05/2024,2024,5,0,9.09765625,21.69042969
Raindrop_Wytham,446500,208500,20/05/2024,2024,5,0.071289063,9.071289063,19.60449219
Raindrop_Wytham,446500,208500,21/05/2024,2024,5,22.43066406,8.967773438,14.23632813
Raindrop_Wytham,446500,208500,22/05/2024,2024,5,11.38769531,12.05175781,15.42382813
